bias,variance,mse
0.00030522368629742197,1.9605579283727662e-05,1.969874078240465e-05
0.00016339277453703352,1.823017938993847e-05,1.825687658870938e-05
-0.0001721348238697875,1.7714051488550128e-05,1.774368188613881e-05
2.6829553920245525e-06,1.872385966274472e-05,1.872386686099436e-05
-6.371598961087133e-05,1.7199936068649435e-05,1.720399579598153e-05
6.09486906006599e-05,1.838676062905699e-05,1.8390475371942926e-05
-0.00017699721509227724,1.6267982671951066e-05,1.6299310686101484e-05
2.6063140919099087e-05,1.8201116782319154e-05,1.8201796069633723e-05
-0.00017921781084053769,1.718512203246223e-05,1.7217241056184706e-05
-0.00011364624964616162,1.9380788754213464e-05,1.9393704224272103e-05
0.0002930173186432728,1.9061011342077623e-05,1.9146870491102512e-05
0.00020203319668470922,1.8330816197254686e-05,1.8371633609817324e-05
-0.00028674933083836125,1.750539089979763e-05,1.758761607853388e-05
8.674423109400822e-05,1.7004078188612227e-05,1.7011602750240318e-05
-0.00014715995841950956,1.776198607212895e-05,1.7783642125490982e-05
0.00015964513538352897,1.7210681376237953e-05,1.723616794548958e-05
-6.54027476151911e-05,1.751283357796356e-05,1.751711109735918e-05
-0.00025471263325354057,1.7818154109237878e-05,1.788303263477683e-05
-0.0001715561259241407,1.78012880961881e-05,1.7830719600530202e-05
-5.525688423776813e-05,1.8059661258732772e-05,1.8062714581988438e-05
-0.00037597593471739264,1.6582888900483095e-05,1.672424680396971e-05
5.626786346080159e-05,1.6808736227663017e-05,1.6811902300121462e-05
-0.0006353077977029626,1.631385769506751e-05,1.6717473692889702e-05
0.0002687097595189345,1.8735739586028527e-05,1.8807944520889254e-05
-0.00017866985298762954,1.8959792707873497e-05,1.8991715624240118e-05
0.00019018653929793634,1.8238148465282593e-05,1.8274319385012715e-05
0.00011153521569401241,1.778368459066817e-05,1.7796124695008077e-05
0.0001434506514260154,1.7886710042236122e-05,1.7907288131630673e-05
-0.00011395494279799884,1.7251107289606227e-05,1.7264093018594322e-05
-0.00017506824961448578,1.663107449754874e-05,1.6661723389571818e-05
-4.9865201790727856e-05,1.7506446157126375e-05,1.7508932695476e-05
4.2369838032699225e-05,1.9373993493115913e-05,1.937578869629083e-05
0.0001597175919498435,1.7854965725958405e-05,1.7880475435136665e-05
-0.00035618882168901925,1.749217632236569e-05,1.7619046799061898e-05
0.00013537049611904092,1.832594691711255e-05,1.8344272088332065e-05
-0.0001391956879820879,1.9260903383831075e-05,1.928027882338388e-05
-0.00017845957577232625,1.5639583830176523e-05,1.5671431650361362e-05
-0.0006631613789983472,1.6894110955422216e-05,1.7333893970017203e-05
0.0001085903612958166,1.7394898414028447e-05,1.7406690280594802e-05
0.00045043769154340906,1.7520096308793614e-05,1.772299042275657e-05
-0.00015932042475383726,1.9297440303111884e-05,1.932282330085563e-05
0.00012173737882267659,1.8271478166358253e-05,1.8286298155760868e-05
-0.00015101036478788743,1.7599493379807477e-05,1.7622297510080846e-05
7.612537647222473e-06,1.8558951567474997e-05,1.8559009518204428e-05
0.00022938745193457066,1.7647794215274034e-05,1.7700412818379066e-05
0.00020844026382764447,1.9157618702696165e-05,1.9201066046280703e-05
0.00026095258665062744,1.9654223772163497e-05,1.9722320024643154e-05
0.0005422148049789716,1.7773355536312706e-05,1.8067352431051094e-05
0.00012611004374209374,1.874465724112122e-05,1.876056098425385e-05
-0.00011053198347795237,1.7753525308167124e-05,1.7765742627538694e-05
0.0001732904874011884,1.738382990488679e-05,1.7413859497910528e-05
-0.00013916864439887482,1.792820359698796e-05,1.794757150857178e-05
0.00011752852421714234,1.7060296889188285e-05,1.7074109843192948e-05
-6.0553810314950204e-05,1.6270157901753967e-05,1.627382466569763e-05
0.0004888810815609299,1.7711708774354526e-05,1.7950713486262712e-05
0.0002108964725957927,1.7003578163123856e-05,1.7048055485277204e-05
-8.065080443766907e-05,1.9900480246160496e-05,1.9906984798416936e-05
-7.769857230534999e-05,1.644673222383266e-05,1.6452769291970954e-05
0.000183906054242235,1.7560609364136795e-05,1.7594430800923744e-05
0.0004361387296165399,1.7796430595189557e-05,1.7986647586661088e-05
0.00011016499316747648,1.7413394301602546e-05,1.7425530627322135e-05
8.726766828227005e-05,1.6990041474667086e-05,1.699765712059451e-05
3.1919008201789986e-05,1.7016236400961436e-05,1.7017255224046023e-05
4.129643222212237e-05,1.753802299731481e-05,1.753972839262909e-05
0.00023928802027229322,1.823964026675566e-05,1.8296899023401496e-05
0.00014882116978889512,1.8973947940373288e-05,1.899609568095062e-05
-0.0001204570536144263,1.6091056062477894e-05,1.610556596424336e-05
2.493708134105113e-05,1.866557539007346e-05,1.8666197248099267e-05
0.0002540633295182622,1.735510760083883e-05,1.741965577624474e-05
0.0002886816183004671,1.9393215242701272e-05,1.947655231944585e-05
0.00014116743900692737,1.77060108814899e-05,1.7725939127325673e-05
0.00013648360562665274,1.7973017871994245e-05,1.7991645646599092e-05
6.44688372073883e-05,1.850733465231007e-05,1.8511490883280943e-05
0.0002498993196518324,1.94271649229689e-05,1.948961459293135e-05
0.00011446920450915339,1.6596261173137027e-05,1.6609364371917987e-05
0.00023727298512188355,1.7425952882822397e-05,1.748225135229105e-05
-9.014686967382876e-05,1.6366801698466587e-05,1.637492815657858e-05
0.0003506412001636483,1.866943166743099e-05,1.8792380918683195e-05
-0.0005396248849153257,1.6737135736352726e-05,1.7028330752772603e-05
0.00013592160012520886,1.7693165348369323e-05,1.771164002974992e-05
0.00015167422046021527,1.7811815518143277e-05,1.783482058729549e-05
0.00014108901866024225,1.8718215866303368e-05,1.873812197748988e-05
-9.380508543126859e-05,1.9742743315064724e-05,1.975154270911749e-05
-0.00019995884311696348,1.699782781782586e-05,1.7037811356766535e-05
-5.5903986196360195e-05,1.7702283191341065e-05,1.7705408447013706e-05
-0.00013679225749581823,1.824301205702182e-05,1.826172417873262e-05
0.00016098200260688915,1.6853979835195046e-05,1.687989504035837e-05
0.00030602368331225475,1.8933488128033023e-05,1.902713862278102e-05
-0.00040118243148148935,1.840254080990282e-05,1.8563488153232217e-05
0.00010115964359340424,1.889353500390239e-05,1.8903768277394335e-05
-1.964186428593702e-05,1.6832610674493857e-05,1.6832996477326483e-05
-0.0003538081289720888,1.7095450586568923e-05,1.722063077869565e-05
-0.00027726024992425456,1.7607909358838e-05,1.7684782605026057e-05
0.00013436977405919398,1.81089861052729e-05,1.812704134145362e-05
0.0001001042743933589,1.846602993270054e-05,1.847605079845236e-05
0.00017655895327734795,1.7977856048787728e-05,1.800902911277012e-05
-0.000470660518188528,1.7241945737948434e-05,1.7463467061329928e-05
-0.00038843160609104005,1.6984248910430677e-05,1.713512802304114e-05
0.00023586565926850267,1.7151056469319833e-05,1.7206689078542e-05
-0.00018213345089184395,1.750769819809263e-05,1.75408707920264e-05
0.0003876416797883291,1.8335195865271935e-05,1.8485461937181052e-05
-0.0006643623039705639,1.604478892589828e-05,1.6486166196835354e-05
-0.00023033130914256426,1.8986828614134783e-05,1.9039881126106108e-05
-0.0002793170771162607,1.6823918227234504e-05,1.6901936256803273e-05
-0.0001520897815166563,1.62801603839947e-05,1.6303291685636483e-05
-8.858110143791786e-05,1.772623161617741e-05,1.773407822770936e-05
-0.00016964917077380744,1.7250958503569506e-05,1.727973934471375e-05
-0.00019000717588947037,1.852837174571757e-05,1.856447447260706e-05
-0.0003584844091278419,1.7920249129062816e-05,1.8048760200650555e-05
-6.0677805916861324e-05,1.7759457374812358e-05,1.7763139170943242e-05
-7.254318812629709e-05,1.822092328035631e-05,1.822618579449984e-05
-9.132425909825007e-06,1.8974192312790592e-05,1.897427571399359e-05
-2.6686119305419434e-05,1.8399276337979708e-05,1.8399988486943294e-05
7.785025473203491e-05,1.9074152674682694e-05,1.908021333684454e-05
-0.0001699973708162491,1.9196057936103618e-05,1.922495704218805e-05
-0.0002293997037351482,1.8836854362521184e-05,1.8889478586594954e-05
2.42855750466741e-05,1.9024053064147683e-05,1.902464285330303e-05
-5.5743586647973714e-05,1.7681155233728096e-05,1.7684262581180478e-05
0.00012670202717086042,1.9096041495774686e-05,1.9112094899463893e-05
0.00019484574444899629,1.8387168069583785e-05,1.842513293371367e-05
0.0003730215800735251,1.7571851676708404e-05,1.7710996775908952e-05
4.916195882990505e-05,1.791331029353379e-05,1.7915727191729783e-05
4.1984682070414156e-05,1.815821425710022e-05,1.8159976970628773e-05
-0.00012412915566041224,1.880862054271753e-05,1.8824028590002495e-05
0.00011497286378432496,1.799740724068981e-05,1.801062600009658e-05
-0.00013972627987711775,1.7234294301835924e-05,1.7253817735124222e-05
-0.00015137735886898776,1.8431747633758437e-05,1.8454662738536586e-05
0.0003463543321024984,1.8856376317910227e-05,1.8976337641276397e-05
-4.270163338337442e-05,1.6719546365850254e-05,1.6721369795343864e-05
-5.6347361953302394e-05,1.755130752578937e-05,1.755448255098847e-05
-0.0002095570403584015,1.7304025865025764e-05,1.7347940018189534e-05
0.0002589705589671164,1.7587948955771265e-05,1.7655014706183004e-05
0.000125782789011911,1.7490679571281823e-05,1.7506500881293437e-05
9.654022335119604e-05,1.5945776901620467e-05,1.5955096916345167e-05
0.00018808856350419588,1.712934389380314e-05,1.7164721201524208e-05
-9.430133251241493e-05,1.7107665518993766e-05,1.7116558260307384e-05
0.0005163989822909634,1.897193946388271e-05,1.9238607372793852e-05
0.00034752401399234904,1.834193102089965e-05,1.8462703961201005e-05
9.06553492225435e-05,1.8735746835262398e-05,1.8743965227605057e-05
4.101357312519434e-05,1.644156163471257e-05,1.6443243747893067e-05
-6.637794438680081e-05,1.8591252582048608e-05,1.8595658613549627e-05
0.00017499978534487107,1.758537837494653e-05,1.761600329981728e-05
1.1510251730533286e-05,1.7562588564998004e-05,1.756272105089291e-05
0.000226194229797156,1.787016333937792e-05,1.7921327168971453e-05
0.00017991985324798156,1.957569786770076e-05,1.9608069021293532e-05
-2.4104314029837343e-05,1.696697236406775e-05,1.69675533820226e-05
0.00010351391669181399,1.8071776396516702e-05,1.8082491527465584e-05
0.00025803064893828616,1.7926592297080242e-05,1.7993172112871754e-05
0.00031750145691046387,1.9307293439865085e-05,1.9408100615005352e-05
-6.756054219934915e-05,1.9631261883044986e-05,1.9635826309907255e-05
0.00010288049028327889,1.5883384328156834e-05,1.5893968723437762e-05
