bias,variance,mse_mcse
149.36726086946146,17879676.314327557,
60.75732128913114,18141209.088088796,
-84.79893757006175,16253552.879145652,
-524.6493039376655,17667311.376409892,
-1.6011502251294587,18246110.914432686,
225.89664367583646,17642729.429220296,
-101.59227880623803,16109506.896700365,
435.7395439578031,17911387.323832355,
-20.279421558652757,18109490.761677533,
298.6034020317529,18057903.598505896,
-341.1161588720861,17095719.990123827,
77.83978975536047,18896411.183050364,
223.35189069937587,18233554.045592133,
-496.23538707786247,18070088.58502661,
72.70169126826477,16990737.725307386,
114.55695929366993,18064838.803445164,
247.32655108933795,17161538.335640747,
435.28664919725634,17887927.47377804,
-670.9582517234703,18241805.57532569,
213.5717421511199,19406717.38281214,
266.40509405965895,18709044.618384823,
250.272254951984,19097542.45683084,
182.9837994518948,18507559.662757404,
356.3587638103272,18755452.05233099,
-237.24867728300342,18088669.380125325,
-54.56771716992807,17694796.632366,
-61.33473671615138,18045767.820948254,
-267.9888106396975,17589016.04208463,
-298.08932933775213,19319660.16971903,
185.16635025185315,18467891.091667183,
-201.2934731110745,18997191.742974,
177.14923383798123,16749784.619374603,
-33.01271638596336,17862895.8392949,
-242.0255537562316,17099817.995953493,
196.6225901075104,17786736.69350228,
415.6114072595028,17956277.98890378,
-485.2629677221594,18816228.08533427,
370.3488440956571,20068793.614780635,
14.886731630098438,17938895.154073283,
-297.090761464171,17417394.68117503,
97.02186081707441,17877416.00893955,
-5.335522316598144,17698957.3476265,
233.67426069003704,18565621.26277497,
-160.23759352468187,18809927.39948092,
-172.71326688420413,17073652.96660672,
-110.68250146030368,16714593.569945652,
-332.895555632942,19392015.244725186,
-393.0521945543114,16866125.560954478,
-90.50968280054076,19233126.856493738,
-111.0558850583111,17812740.600805525,
16.55718815904038,20042506.51311976,
210.04275608735952,18137075.039187647,
-160.05715036824222,18217262.382342607,
-155.79409562086948,18125610.425026532,
47.892073455717764,19950160.453468256,
-194.5224184743438,17258177.65783723,
-131.54914147755517,18439639.735556036,
483.6717681542341,17414482.49483294,
416.55214682917904,19911076.33964557,
137.66015736073314,16763486.42948363,
